#E	Z	A          	mass_amu	Y
H	001	001	001.007825032240	2.520E+10
H	001	002	002.014101778110	4.970E+05
He	002	003	003.016029322650	4.130E+05
He	002	004	004.002603254130	2.490E+09
Li	003	006	006.015122887400	4.300E+00
Li	003	007	007.016003437000	5.260E+01
Be	004	009	009.012183070000	6.370E-01
B	005	010	010.012936862000	3.600E+00
B	005	011	011.009305167000	1.440E+01
C	006	012	012.000000000000	9.030E+06
C	006	013	013.003354835210	9.440E+04
N	007	014	014.003074004460	2.180E+06
N	007	015	015.000108898900	4.940E+03
O	008	016	015.994914619600	1.660E+07
O	008	017	016.999131756600	5.800E+03
O	008	018	017.999159612800	3.130E+04
F	009	019	018.998403162900	1.267E+03
Ne	010	020	019.992440176200	4.070E+06
Ne	010	021	020.993846690000	9.760E+03
Ne	010	022	021.991385110000	2.900E+05
Na	011	023	022.989769282000	5.780E+04
Mg	012	024	023.985041697000	8.100E+05
Mg	012	025	024.985836960000	1.030E+05
Mg	012	026	025.982592970000	1.130E+05
Al	013	027	026.981538410000	8.180E+04
Si	014	028	027.976926535000	9.220E+05
Si	014	029	028.976494665300	4.680E+04
Si	014	030	029.973770137000	3.090E+04
P	015	031	030.973761998600	8.260E+03
S	016	032	031.972071174400	4.156E+05
S	016	033	032.971458909900	3.270E+03
S	016	034	033.967867010000	1.830E+04
S	016	036	035.967080700000	6.400E+01
Cl	017	035	034.968852690000	4.010E+03
Cl	017	037	036.965902580000	1.280E+03
Ar	018	036	035.967545105000	8.240E+04
Ar	018	038	037.962732100000	1.530E+04
Ar	018	040	039.962383123800	4.000E+00
K	019	039	038.963706487000	3.360E+03
K*	019	040	039.963998170000	5.000E+00
K	019	041	040.961825258000	2.430E+02
Ca	020	040	039.962590866000	5.550E+04
Ca	020	042	041.958617830000	3.700E+02
Ca	020	043	042.958766430000	7.700E+01
Ca	020	044	043.955481500000	1.194E+03
Ca	020	046	045.953688000000	2.000E+00
Ca	020	048	047.952522900000	1.070E+02
Sc	021	045	044.955907500000	3.370E+01
Ti	022	046	045.952626860000	2.030E+02
Ti	022	047	046.951757750000	1.830E+02
